gene_name,chromosome,phewas phenotype,gene_id,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - EBV-transformed lymphocytes,Cells - Transformed fibroblasts,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
AAK1,2,Photodermatitis & sunburn,ENSG00000115977.14,2.1265,2.045,2.086,1.8,1.786,1.732,2.499,4.8045,9.348,5.2475,27.925,26.95,16.225,21.59,5.748,7.506,6.783,3.5735,2.814,3.544,2.003,2.273,2.344,1.854,1.699,1.425,1.11,1.435,1.098,1.396,1.91,1.777,2.687,0.8778,0.393,2.082,1.315,1.6165,2.0755,1.246,1.0155,3.854,1.843,0.9632,1.043,1.291,1.042,1.6635,2.791,4.1425,2.112,1.629,0.7947
AAK1,2,Atopic or contact dermatitis,ENSG00000115977.14,2.1265,2.045,2.086,1.8,1.786,1.732,2.499,4.8045,9.348,5.2475,27.925,26.95,16.225,21.59,5.748,7.506,6.783,3.5735,2.814,3.544,2.003,2.273,2.344,1.854,1.699,1.425,1.11,1.435,1.098,1.396,1.91,1.777,2.687,0.8778,0.393,2.082,1.315,1.6165,2.0755,1.246,1.0155,3.854,1.843,0.9632,1.043,1.291,1.042,1.6635,2.791,4.1425,2.112,1.629,0.7947
ABCA7,19,Atopic or contact dermatitis,ENSG00000064687.8,7.722,10.04,5.869,3.498,4.861,3.194,12.03,2.959,5.107,4.017,29.795,34.43,8.8845,7.156,3.678,8.704,4.756,3.3975,5.756,5.294,9.367,14.265,2.825,4.049,4.424,3.978,8.3585,4.884,14.27,5.444,7.768,2.491,2.063,6.406,3.24,27.14,20.81,5.0835,4.6045,1.4,6.59,94.67,12.52,15.01,13.93,13.66,63.54,6.468,5.145,21.825,4.16,9.244,76.49
ABCC4,13,Skin cancer,ENSG00000125257.9,2.6665,2.76,0.8127,2.013,2.853,1.938,30.76,1.1305,0.8819,0.91725,0.25265,0.2311,0.88405,0.8272,1.054,1.81,0.9953,0.53025,3.147,1.7565,2.0645,19.38,14.11,2.227,6.023,12.15,8.5,2.4775,1.864,2.838,7.037,1.476,0.8412,7.163,0.4252,9.102,1.82,2.947,2.2735,5.89,1.17,1.901,17.005,2.751,3.824,6.132,3.111,4.273,4.078,4.182,5.2,2.364,1.102
ABCC4,13,Atopic or contact dermatitis,ENSG00000125257.9,2.6665,2.76,0.8127,2.013,2.853,1.938,30.76,1.1305,0.8819,0.91725,0.25265,0.2311,0.88405,0.8272,1.054,1.81,0.9953,0.53025,3.147,1.7565,2.0645,19.38,14.11,2.227,6.023,12.15,8.5,2.4775,1.864,2.838,7.037,1.476,0.8412,7.163,0.4252,9.102,1.82,2.947,2.2735,5.89,1.17,1.901,17.005,2.751,3.824,6.132,3.111,4.273,4.078,4.182,5.2,2.364,1.102
ABCC4,13,Seborheic dermatitis,ENSG00000125257.9,2.6665,2.76,0.8127,2.013,2.853,1.938,30.76,1.1305,0.8819,0.91725,0.25265,0.2311,0.88405,0.8272,1.054,1.81,0.9953,0.53025,3.147,1.7565,2.0645,19.38,14.11,2.227,6.023,12.15,8.5,2.4775,1.864,2.838,7.037,1.476,0.8412,7.163,0.4252,9.102,1.82,2.947,2.2735,5.89,1.17,1.901,17.005,2.751,3.824,6.132,3.111,4.273,4.078,4.182,5.2,2.364,1.102
ABCG5,2,Atopic or contact dermatitis,ENSG00000138075.7,0.095895,0.08418,0.12935,0.05998,0.06449,0.0552,0.02517,0.09209,0.2252,0.12815,0.20495,0.1667,0.26585,0.3339,0.101,0.2536,0.2211,0.096625,0.07224,0.102,0.085985,0.0091865,0.01448,0.05813,0.09498,0.0507,0.08097,0.06824,0.02478,0.064615,0.2854,0.03097,0.01955,0.08756,58.45,0.08085,0.05609,0.01343,0.08437,0.1614,0.024605,0.1993,0.094425,0.06393,0.09088,1.964,0.18435,0.038435,0.3339,0.11925,0.1773,0.05573,0.009886
ABO,9,Psoriasis,ENSG00000175164.9,2.6145,4.272,20,0.5891,1.026,0.4174,17.3,0.44435,0.6251,0.51095,0.26975,0.4477,0.7502,0.5534,0.4544,0.8793,0.3767,0.4686,0.5743,0.73735,4.007,0.046085,0.02363,4.433,4.351,1.412,29.24,1.5035,21.69,1.552,6.306,1.086,1.279,8.319,0.0745,6.651,9.099,0.38615,8.448,39.23,4.678,0.9052,6.5185,3.247,2.916,31.24,1.503,3.2825,11.59,34.59,3.729,10.19,0.2004
ACOXL,2,Acne,ENSG00000153093.14,0.08058,0.06596,0.04534,0.03181,0.06996,0.05267,5.277,0.02198,0.0376,0.025075,0.0165,0.02124,0.04923,0.04065,0.01674,0.02943,0.02369,0.031225,0.02159,0.0247,0.08136,2.641,0.01071,0.023275,0.07483,0.03502,0.11675,0.05194,0.03988,0.038745,0.09527,0.03818,0.01379,0.08093,0.01443,3.071,0.1419,0.031025,0.05563,0.05092,0.03344,0.2888,1.7235,0.03469,0.04051,0.07188,0.36235,0.0791,2.702,0.6653,0.06759,0.07304,0.08286
ACOXL,2,Photodermatitis & sunburn,ENSG00000153093.14,0.08058,0.06596,0.04534,0.03181,0.06996,0.05267,5.277,0.02198,0.0376,0.025075,0.0165,0.02124,0.04923,0.04065,0.01674,0.02943,0.02369,0.031225,0.02159,0.0247,0.08136,2.641,0.01071,0.023275,0.07483,0.03502,0.11675,0.05194,0.03988,0.038745,0.09527,0.03818,0.01379,0.08093,0.01443,3.071,0.1419,0.031025,0.05563,0.05092,0.03344,0.2888,1.7235,0.03469,0.04051,0.07188,0.36235,0.0791,2.702,0.6653,0.06759,0.07304,0.08286
