Lake	Beach Name 	County	City	number_volunteers	total_time_hours	total_volunteer_hours	debris_weight_lbs	total_num_items	paper_bags 	plastic_bags	beverage_container_plastic	beverage_container_glass_can	beverage_related_items	food_related_items	recreational_items	 balloons	clothing_shoes	personal_hygiene_items 	tobacco _related_items	drug_paraphernalia 	fishing_related_items	shotgun_shells	household_items	appliances	 crates 	pallets 	 rope	 strapping_bands 	building_materials	55-Gal_	automobile_items	entangled_animal	Most Peculiar Item Found 	Misc. Items
Michigan	Laketown Beach	Allegan		23	2	46	70	1016	14	23	33	21	223	122	31	72	14	6	388	2	5	28	1	0	0	0	14	0	19	0	0	none	Decapitated Barbie doll head	Plastic and Styrofoam pieces
Michigan	Pier Cove	Allegan		8	1	8	10	209	0	1	6	3	58	13	9	6	2	1	106	0	1	2	0	0	0	0	1	0	0	0	0	none		"styrofoam, foil, and bubble wand"
Michigan	Esch Road - North	Benize		11	3	33	5	1037	32	222	1	3	155	89	96	7	9	2	412	0	3	6	0	0	0	0	0	0	0	0	0	none		styrofoam pieces
Michigan	Frankfort Municipal Beach	Benzie	Frankfort	48	2	96	118	2390	63	68	8	45	200	568	38	52	31	28	1221	1	33	3	4	0	0	0	20	0	0	0	7	none	Artificial flowers from outdoor wedding - also frayed truck tire	bits of plastic - sources unknown
Michigan	Lions Park Beach	Berrien	St. Joseph	27	4	108	78	2668	6	35	19	21	215	670	31	15	16	10	1615	0	3	1	0	0	0	0	0	1	10	0	0	none	"flip flop, plastic pretend french fry, eyeglass frame, 2x4 board, dental floss pick, hair tie"	"twist-tie, plastic pieces, and styrofoam"
Michigan	Grand Mere State Park	Berrien		13	3	39	20	409	14	35	14	5	159	41	34	12	3	4	81	0	0	0	0	0	0	0	1	2	1	0	3	none	what looked like a rusted auto bumper.	"misc. plastic items, pieces of astro turf, ribbons, and bows"
Michigan	Tiscornia Beach	Berrien		28	4	112	145	793	26	24	15	13	147	50	14	14	5	6	461	0	7	0	2	0	0	0	3	5	1	0	0	none	wooden bar stool	pieces of plastic and beach towel
Michigan	Beaver Island	Charlevoix	Beaver Island	17	3	51	442	1056	5	42	31	30	109	116	39	68	12	1	520	1	20	7	9	1	1	2	16	2	15	4	5	none	"weather balloon, second balloon/parachute combo with partial electronic module"	"fireworks debris, life jackets, and broken cooler"
Michigan	Charlevoix Hospital - South	Charlevoix		30	3	90	20	194	4	11	17	13	13	34	0	7	0	0	93	0	2	0	0	0	0	0	0	0	0	0	0	none		
Michigan	Petoskey State Park	Emmet		11	3	33	45	1593	58	200	6	7	95	261	8	42	15	0	892	0	2	1	0	0	0	0	0	4	1	0	1	none	We listed plastic pieces and paper pieces with the total count with the two categories of bags.	styrofoam and metal pieces  and bandaids
Michigan	Interlochen State Park	Grand Traverse	Interlochen	10	3	30	5	209	0	0	25	6	125	40	2	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none		
Michigan	Bryant Park - West Bay	Grand Traverse	Traverse City	8	3	24	20	1504	8	25	1	11	68	157	6	0	1	4	1219	0	0	0	0	0	0	0	0	0	3	0	1	none		Fireworks/debris
Michigan	Christmas Cove	Leelanau		4	1	4	20	296	0	1	6	0	86	41	9	15	0	2	105	0	1	19	3	0	0	0	4	1	3	0	0	none		
