year,lake,water_surface_temp,air_temp,evaporation,lake_precipitation,land_precipitation,runoff,water_level
1882,erie,,,,,810,,
1883,erie,,,,,684,,
1884,erie,,,,,851,,
1885,erie,,,,,601,,
1886,erie,,,,,605,,
1887,erie,,,,,530,,
1888,erie,,,,,651,,
1889,erie,,,,,736,,
1890,erie,,,,,660,,
1891,erie,,,,,573,,
1892,erie,,,,,586,,
1893,erie,,,,,734,,
1894,erie,,,,,704,,
1895,erie,,,,,670,,
1896,erie,,,,,699,,
1897,erie,,,,,741,,
1898,erie,,,,,657,119,
1899,erie,,,,,701,545,
1900,erie,,,,817,831,511,173.9
1901,erie,,,,779,772,356,173.8
1902,erie,,,,900,937,0,173.9
1903,erie,,,,919,917,122,174.1
1904,erie,,,,824,883,638,174.1
1905,erie,,,,783,877,525,174
1906,erie,,,,811,869,339,174
1907,erie,,,,907,925,0,174.2
1908,erie,,,,743,801,0,174.2
1909,erie,,,,939,974,0,174
1910,erie,,,,874,840,0,173.9
1911,erie,,,,919,896,0,173.8
1912,erie,,,,911,870,0,174
1913,erie,,,,996,957,126,174.2
1914,erie,,,,877,833,509,174
1915,erie,,,,918,901,595,173.8
1916,erie,,,,864,857,828,174
1917,erie,,,,914,885,569,174.1
1918,erie,,,,804,795,567,174
1919,erie,,,,825,832,589,174.2
1920,erie,,,,798,816,555,173.9
1921,erie,,,,864,900,723,174
1922,erie,,,,735,827,660,173.9
1923,erie,,,,776,834,665,173.7
1924,erie,,,,820,844,780,173.9
1925,erie,,,,764,783,520,173.6
1926,erie,,,,1009,985,967,173.6
1927,erie,,,,872,911,928,173.8
1928,erie,,,,773,799,574,174
1929,erie,,,,957,996,957,174.3
1930,erie,,,,653,690,670,174.3
1931,erie,,,,798,821,292,173.7
1932,erie,,,,864,897,564,173.7
1933,erie,,,,675,774,643,173.7
1934,erie,,,,662,648,260,173.3
1935,erie,,,,742,788,363,173.4
1936,erie,,,,701,759,335,173.5
1937,erie,,,,1073,1054,789,173.8
1938,erie,,,,883,865,572,173.8
1939,erie,,,,764,814,557,173.9
1940,erie,,,,931,919,591,173.8
1941,erie,,,,649,698,295,173.7
1942,erie,,,,1019,1000,754,173.9
1943,erie,,,,858,921,891,174.2
1944,erie,,,,795,786,529,174.1
1945,erie,,,,1068,1018,749,174.2
1946,erie,,,,789,765,502,174.1
1947,erie,,,,979,996,914,174.2
1948,erie,11,9,896,934,940,751,174.2
1949,erie,12,11,1034,849,893,651,174
1950,erie,11,9,919,1098,1161,1286,174.1
1951,erie,11,9,904,944,989,974,174.3
1952,erie,12,10,954,788,822,820,174.5
1953,erie,12,11,988,755,726,429,174.3
1954,erie,12,10,932,1002,985,711,174.3
1955,erie,12,10,1029,858,871,661,174.4
1956,erie,11,9,867,970,921,876,174.1
1957,erie,11,9,955,991,972,843,174
1958,erie,11,9,933,829,827,589,173.8
