CaseID,weight,tm_start,tm_finish,duration,Xspanish,Have children?,How many children?,child age,child gender,How many children under 6,ChildrenHH,parent: sleep quality,child: sleep quality,parent: imp_mood,parent: imp_health,parent: imp_performance,child: imp_mood,child: imp_health,child: imp_performance,child: imp_behavior,necessary hours of sleep,parent: oft_bath,parent: oft_music,parent: oft_alcohol,parent: oft_read,parent: oft_yoga,parent: oft_TV,parent: oft_online,parent: oft_over-counter meds,parent: oft_prescription meds,child: oft_bath,child: oft_music,child: oft_read,child: oft_yoga,child: oft_TV,child: oft_online,child: oft_meds,bedtime: school,AM or PM,wake-up: school,AM or PM,bedtime: non-school,AM or PM,wake-up: non-school,AM or PM,actual bedtime: school,actual bedtime: non-school,sleep_hours: school,sleep_hours: nonschool,sleep arrangement,wake-up at night,sleep in school,parent: BR_TV,parent: BR_computer,parent: BR_tablet,parent: BR_cellphone,parent: BR_game,parent: BR_MP3,parent: off_TV,parent: off_computer,parent: off_tablet,parent: off_cell,parent: off_game,parent: off_mp3,child: BR_TV,child: BR_computer,child: BR_tablet,child: BR_cell,child: BR_game,child: BR_MP3,child: off_TV,child: off_computer,child: off_tablet,child: off_cell,child: off_game,child: off_mp3,parent: difficult_evening,parent: difficult_pets,parent: difficult_in-noise,parent: difficult_out-noise,parent: difficult_temperature,parent: difficult_light,diffTVpar,diffcomppar,difftabletpar,diffcellpar,diffvideopar,diffmp3par,diffHWchild,diffeveningchild,diffpetschild,diffinnoisechild,diffoutnoisechild,difftempchild,difflightchild,diffTVchild,diffcompchild,difftabletchild,diffcellchild,diffvideochild,diffmp3child,parent: texts/emails,child: texts/emails,parent: regular meal time,parent: regular bedtime,parent: regular wake-up time,child: reg breakfast time,child: reg evening meal time,child: regular bedtime,child: reg wake-up time,rules_bedtime,rules_TV,rules_caffeine,rules_phone,rules_computer/tablet,rules_games,impact_performance,impact_mood,impact_behavior,impact_quality of life,marital status
180,0.2520,12/13/13 3:21,12/13/13 3:30,8,1,1,1,16,1,0,1,2,4,1,1,1,1,1,1,1,10,4,4,4,4,4,2,4,4,4,4,3,1,4,1,1,3,3,1,6,1,3,1,1,2,3,12,4,13,3,1,4,1,1,1,1,2,1,2,1,1,2,#NULL!,1,2,1,2,1,2,1,#NULL!,1,#NULL!,2,#NULL!,1,2,2,1,4,3,4,4,3,4,3,#NULL!,4,4,4,4,4,4,4,4,#NULL!,1,#NULL!,1,#NULL!,2,4,4,1,1,2,2,1,3,2,4,3,3,4,3,3,1,1,1,1,1
1027,0.9166,12/19/13 6:38,12/19/13 6:58,19,2,1,2,9,2,1,3,3,1,1,1,1,1,1,1,1,8,2,2,4,2,4,1,4,4,4,4,4,4,4,4,4,4,9,2,7,1,11,2,9,1,10,10,9,13,3,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
635,1.3663,12/17/13 21:43,12/17/13 21:53,10,1,1,1,14,1,0,1,4,3,1,1,1,1,1,1,1,10,1,3,3,3,4,1,2,3,3,1,2,2,4,1,1,4,11,2,7,1,3,1,1,2,8,12,6,12,3,2,3,1,1,1,1,2,1,2,1,1,2,#NULL!,1,1,2,2,1,1,1,2,#NULL!,#NULL!,2,1,1,4,4,2,4,2,3,2,4,4,4,#NULL!,4,4,4,4,4,4,4,3,1,#NULL!,#NULL!,1,3,4,1,4,1,2,2,2,2,2,2,3,3,4,3,3,2,1,1,2,2,1
3,0.4241,12/12/13 22:04,12/12/13 22:16,11,1,1,1,17,1,0,1,4,1,2,3,3,1,2,1,1,8,4,1,4,2,4,2,4,4,4,4,4,4,4,1,1,4,11,2,7,1,2,1,1,2,8,13,7,12,3,1,1,1,2,1,1,2,2,2,#NULL!,2,1,#NULL!,#NULL!,1,2,1,1,1,1,2,#NULL!,2,2,1,2,4,4,4,4,3,4,4,#NULL!,4,4,#NULL!,#NULL!,4,4,4,4,4,4,4,4,#NULL!,4,3,2,4,4,4,2,2,2,2,2,2,2,4,4,4,1,4,1,1,1,1,2,5
265,0.6404,12/13/13 13:16,12/13/13 13:25,8,1,1,1,16,2,0,1,2,3,3,1,3,2,1,2,2,8,4,4,4,3,4,2,3,4,4,2,1,2,4,2,2,4,11,2,6,1,10,2,10,1,7,12,7,12,3,2,1,1,2,2,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,2,2,1,2,1,2,#NULL!,#NULL!,1,3,4,1,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,4,1,2,4,4,4,2,4,4,2,4,#NULL!,#NULL!,4,4,2,1,1,1,2,3,1,2,2,1,4,1,1,4,2,1,2,2,1
1091,0.7192,12/19/13 14:21,12/19/13 14:30,9,1,1,1,15,1,1,2,3,2,1,2,2,1,1,1,1,10,2,3,2,3,4,1,4,3,3,1,1,2,4,2,4,4,10,2,6,1,11,2,12,2,8,13,7,12,3,1,1,1,2,1,2,2,1,1,#NULL!,1,#NULL!,#NULL!,1,2,2,1,2,1,1,#NULL!,#NULL!,2,#NULL!,1,1,2,4,4,4,2,4,4,#NULL!,4,#NULL!,#NULL!,4,3,2,4,4,4,4,4,#NULL!,#NULL!,4,#NULL!,4,4,4,4,2,1,1,2,1,2,2,3,2,4,1,1,-1,2,1,2,2,1
30,6.0606,12/12/13 22:36,12/12/13 22:49,13,1,1,3,11,1,1,4,2,2,1,1,2,1,1,1,1,10,3,3,3,1,4,2,2,4,4,3,3,2,4,2,3,4,10,2,7,1,9,2,9,1,9,12,8,12,2,1,1,2,2,1,1,2,2,#NULL!,#NULL!,1,2,#NULL!,#NULL!,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,#NULL!,#NULL!,4,4,#NULL!,#NULL!,3,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1
263,6.0606,12/13/13 13:15,12/13/13 13:44,29,1,1,3,14,1,0,3,4,2,2,-1,1,2,2,2,2,8,3,3,2,2,4,1,2,4,4,2,1,3,4,2,1,4,#NULL!,#NULL!,#NULL!,#NULL!,11,2,11,1,#NULL!,12,8,12,3,1,2,1,1,2,1,1,1,2,1,#NULL!,2,2,2,1,2,1,1,1,1,2,#NULL!,2,2,2,2,2,2,1,1,1,3,4,4,#NULL!,4,4,4,2,2,2,3,3,3,3,3,#NULL!,3,3,3,3,2,2,3,2,2,1,1,1,1,3,3,3,3,3,3,2,2,2,2,1
486,0.9058,12/14/13 21:52,12/14/13 22:08,15,1,1,4,12,1,1,5,4,1,1,1,1,1,1,1,1,10,2,2,3,3,4,1,1,1,3,3,2,3,4,1,1,4,9,2,6,1,12,1,12,2,9,12,8,12,3,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,#NULL!,#NULL!,#NULL!,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,4,3,#NULL!,#NULL!,#NULL!,4,3,4,4,1,2,1,1,2,2,1,2,2,4,2,2,2,1,1,1,1,1
490,1.7328,12/14/13 22:22,12/14/13 22:40,18,1,1,1,17,2,0,1,2,2,2,2,2,2,2,1,2,8,2,2,4,2,4,2,1,4,4,4,1,2,4,4,2,4,10,2,7,1,11,2,11,1,9,12,8,12,1,1,2,2,1,2,1,1,1,#NULL!,1,#NULL!,1,1,1,2,1,2,1,1,1,#NULL!,1,#NULL!,1,1,1,4,3,4,4,4,4,#NULL!,4,#NULL!,4,4,4,4,4,4,4,4,4,4,#NULL!,4,#NULL!,4,4,4,4,4,1,1,1,1,1,1,1,4,3,4,4,4,4,2,1,1,2,5
877,1.8376,12/19/13 1:40,12/19/13 2:06,26,1,1,3,15,1,0,3,2,3,2,1,1,1,1,1,1,9,3,2,3,2,3,3,3,3,3,2,2,2,4,2,2,3,11,2,6,1,1,1,11,1,7,10,8,12,2,2,2,2,2,2,1,2,1,#NULL!,#NULL!,#NULL!,2,#NULL!,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,3,2,4,#NULL!,#NULL!,#NULL!,3,#NULL!,4,2,2,4,3,3,2,4,3,4,4,4,4,4,1,2,2,3,3,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1
1146,0.8792,12/19/13 17:45,12/19/13 17:59,13,1,1,1,14,2,0,1,3,1,1,1,1,1,1,1,1,9,1,1,4,1,4,3,4,2,2,1,1,1,4,2,2,4,9,2,6,1,10,2,10,1,9,12,8,12,3,1,1,2,2,1,1,2,1,#NULL!,#NULL!,1,1,#NULL!,2,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,4,4,4,4,4,#NULL!,#NULL!,3,4,#NULL!,4,1,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,4,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1
1206,1.3526,12/19/13 22:58,12/19/13 23:12,14,2,1,3,16,2,0,3,2,1,2,1,1,1,1,1,1,9,1,3,4,3,4,1,3,4,1,-1,-1,-1,-1,-1,-1,-1,9,2,7,1,10,2,10,1,10,12,8,12,3,2,-1,1,2,1,1,2,1,2,#NULL!,1,1,#NULL!,1,1,2,1,1,2,1,2,#NULL!,1,2,#NULL!,1,4,4,4,4,2,2,2,#NULL!,4,-1,#NULL!,-1,4,4,4,4,4,3,3,2,#NULL!,4,1,#NULL!,4,2,1,1,2,2,2,1,2,2,2,3,1,1,1,1,1,3,3,2,3
1282,0.8067,12/20/13 4:44,12/20/13 5:19,35,2,1,2,15,1,0,2,2,2,1,1,1,1,1,1,1,8,1,2,4,2,4,1,4,3,3,1,1,3,4,1,2,4,10,2,7,1,11,2,12,2,9,13,8,12,3,2,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,2,1,1,1,#NULL!,#NULL!,#NULL!,1,1,4,2,1,3,3,3,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,4,4,4,4,3,3,2,2,3,2,2,3,3,4,3,3,3,2,2,2,2,1
1316,0.4023,12/20/13 14:26,12/20/13 14:33,7,1,1,1,15,2,0,1,3,2,4,3,3,4,3,3,4,8,4,3,2,3,4,2,3,2,4,3,1,2,4,1,1,4,10,2,6,1,11,2,1,2,8,14,8,12,3,1,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,2,1,#NULL!,2,2,2,#NULL!,2,3,4,4,3,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,#NULL!,4,1,1,#NULL!,4,4,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,1
1426,0.2268,12/21/13 10:57,12/21/13 11:11,13,1,1,1,6,2,0,1,4,2,3,3,3,1,1,1,1,8,4,4,4,4,4,4,4,4,1,1,1,1,4,1,1,4,9,2,5,1,10,2,10,1,8,12,8,12,2,1,2,2,1,1,2,1,1,#NULL!,1,1,#NULL!,1,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,1,1,4,#NULL!,4,4,#NULL!,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,3,3,1,1,3,1,1,1,1,1,-1,-1,-1,2,1,1,1,6
