name,publisher,intelligence,strength,speed,durability,power,combat,full_name,creator,alignment,gender,race,height,weight,eye_color,hair_color,skin_color,super_strength,stamina,durable,super_speed,agility,flight,accelerated_healing,reflexes,intelligent,energy_blasts,stealth,marksmanship,invulnerability,longevity,weapons_master,telepathy,enhanced_senses,force_fields,energy_absorption,enhanced_hearing,teleportation
A-Bomb,Marvel Comics,75,100,20,80,25,65,Richard Milhouse Jones,Marvel Comics,good,Male,Human,203,441,Yellow,No Hair,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Abe Sapien,Dark Horse Comics,95,30,35,65,100,85,Abraham Sapien,Dark Horse Comics,good,Male,Icthyo Sapien,191,65,Blue,No Hair,Blue,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Abin Sur,DC Comics,80,90,55,65,100,65,NA,DC Comics,good,Male,Ungaran,185,90,Blue,No Hair,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Abomination,Marvel Comics,85,80,55,90,65,95,Emil Blonsky,Marvel Comics,bad,Male,Human / Radiation,203,441,Green,No Hair,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Absorbing Man,Marvel Comics,75,80,25,100,100,65,Carl Creel,Marvel Comics,bad,Male,Human,193,122,Blue,No Hair,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Adam Strange,DC Comics,85,10,35,40,40,50,Adam Strange,DC Comics,good,Male,Human,185,88,Blue,Blond,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agent Bob,Marvel Comics,60,10,15,5,5,20,Bob,Marvel Comics,good,Male,Human,178,81,Brown,Brown,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agent Zero,Marvel Comics,90,30,40,80,75,95,Christoph Nord,Marvel Comics,good,Male,NA,191,104,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Air-Walker,Marvel Comics,80,85,100,85,100,40,Gabriel Lan,Marvel Comics,bad,Male,NA,188,108,Blue,White,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ajax,Marvel Comics,80,50,35,80,35,55,Francis,Marvel Comics,bad,Male,Cyborg,193,90,Brown,Black,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
