RespondentID,celebtrate_thanksgiving,main_dish,main_dish_other,main_dish_cooking_method,main_dish_cooking_method_other,type_stuffing_or_dressing,type_stuffing_or_dressing_other,type_cranberry_sauce,type_cranberry_sauce_other,gravy,side_brussel_sprouts,side_carrots,side_cauliflower,side_corn,side_cornbread,side_fruit_salad,side_green_beans,side_mac_and_cheese,side_mashed_potato,side_rolls_biscuits,side_squash,side_vegetable_salad,side_yams,side_other,pie_apple,pie_buttermilk,pie_cherry,pie_chocolate,pie_coconut_cream,pie_key_lime,pie_peach,pie_pecan,pie_pumpkin,pie_sweet_potato,pie_none,pie_other,dessert_apple_cobbler,desser_blondies,dessert_brownies,desser_carrot_cake,dessert_cheesecake,dessert_cookies,dessert_fudge,dessert_ice_cream,dessert_peach_cobbler,dessert_none,dessert_other,pray_before_after_meal,distance_traveled,watch_macys_parade,kids_table_age_cutoff,meet_hometown_friends,friendsgiving,shop_black_Friday,work_retail,work_black_Friday,residential_type,age,gender,household_income,US_region
4335894916,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,1,16,Yes,Yes,Yes,No,,,,,,
4335934708,Yes,Turkey,,Baked,,None,,Homemade,,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Thanksgiving is local--it will take place in the town I live in,1,13,Yes,No,Yes,Yes,Yes,,,,,
4335943060,Yes,Other (please specify),Duck,Baked,,Rice-based,,None,,No,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,1,21 or older,Yes,Yes,Yes,No,,Urban,60+,Male,"$100,000 to $124,999",Pacific
4335943173,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,No,Thanksgiving is local--it will take place in the town I live in,1,10 or younger,No,No,No,No,,Suburban,60+,Female,"$50,000 to $74,999",Pacific
4335944082,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,Thanksgiving is local--it will take place in the town I live in,0,10 or younger,Yes,Yes,No,No,,Rural,30 - 44,Female,"$100,000 to $124,999",Mountain
4335944115,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",
4335944854,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pie,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,0,10 or younger,No,No,No,No,,Suburban,60+,Male,"$125,000 to $149,999",Pacific
4335945415,Yes,Turkey,,Roasted,,Bread-based,,None,,Yes,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,No,No,No,No,,Rural,60+,Male,"$125,000 to $149,999",South Atlantic
4335947496,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,0,,,,,,,,,,,
4335949112,Yes,Turkey,,Baked,,Bread-based,,Homemade,,No,0,0,0,1,0,1,0,0,0,1,0,0,0,wild rice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,No,No,No,No,,Suburban,60+,Male,"$75,000 to $99,999",West North Central
4335949169,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Thanksgiving is happening at my home--I won't travel at all,1,10 or younger,No,Yes,No,No,,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
