year,"United States, total_TOTAL",Less than 25 years_TOTAL,25 to 29 years_TOTAL,30 to 34 years_TOTAL,35 to 39 years_TOTAL,40 to 44 years_TOTAL,45 to 49 years_TOTAL,50 to 54 years_TOTAL,55 to 59 years_TOTAL,60 to 64 years_TOTAL,65 to 69 years_TOTAL,70 to 74 years_TOTAL,75 years and over_TOTAL,_Less than 35 years_TOTAL,_35 to 44 years_TOTAL,_45 to 54 years_TOTAL,_55 to 64 years_TOTAL,_65 years and over_TOTAL,"United States, total_OWNER",Less than 25 years_OWNER,25 to 29 years_OWNER,30 to 34 years_OWNER,35 to 39 years_OWNER,40 to 44 years_OWNER,45 to 49 years_OWNER,50 to 54 years_OWNER,55 to 59 years_OWNER,60 to 64 years_OWNER,65 to 69 years_OWNER,70 to 74 years_OWNER,75 years and over_OWNER,_Less than 35 years_OWNER,_35 to 44 years_OWNER,_45 to 54 years_OWNER,_55 to 64 years_OWNER,_65 years and over_OWNER,"United States, total_PERCENT",Less than 25 years_PERCENT,25 to 29 years_PERCENT,30 to 34 years_PERCENT,35 to 39 years_PERCENT,40 to 44 years_PERCENT,45 to 49 years_PERCENT,50 to 54 years_PERCENT,55 to 59 years_PERCENT,60 to 64 years_PERCENT,65 to 69 years_PERCENT,70 to 74 years_PERCENT,75 years and over_PERCENT,_Less than 35 years_PERCENT,_35 to 44 years_PERCENT,_45 to 54 years_PERCENT,_55 to 64 years_PERCENT,_65 years and over_PERCENT
1982.0,83731,5905,9308,9647,8385,6913,6157,6383,6609,6348,5680,4792,6968,24860,15298,12540,12957,17440,54237,1142,3594,5506,5666,5045,4677,5032,5288,5082,4427,3605,4947,10241,10711,9709,10370,12978,64.77529230511998,19.339542760372566,38.61194671250537,57.07473826059915,67.57304710793083,72.97844640532331,75.96231931135293,78.83440388532038,80.01210470570435,80.05671077504726,77.94014084507043,75.22954924874792,70.99598163030998,41.19469026548673,70.01568832527127,77.42424242424242,80.03395847804275,74.4151376146789
1983.0,84565,5487,9337,9720,8722,7158,6251,6225,6573,6489,5719,4907,7152,24544,15880,12476,13062,17778,54671,1031,3579,5387,5797,5211,4704,4906,5266,5176,4500,3702,5139,9997,11008,9610,10442,13341,64.64967776266776,18.789866958264987,38.331369818999676,55.421810699588484,66.46411373538179,72.79966471081308,75.25195968645016,78.81124497991968,80.11562452457022,79.76575743566035,78.68508480503584,75.44324434481354,71.85402684563759,40.73093220338983,69.31989924433249,77.0278935556268,79.94181595467768,75.04218697266283
1984.0,86346,5536,9495,10024,9156,7553,6377,6152,6582,6523,5795,5009,7414,25055,16709,12529,13105,18218,55671,993,3669,5488,6054,5463,4759,4821,5273,5214,4593,3784,5298,10150,11516,9580,10487,13676,64.47432423042179,17.9371387283237,38.641390205371245,54.7486033519553,66.1205766710354,72.32887594333377,74.62756782185981,78.36475942782835,80.11242783348527,79.93254637436762,79.25798101811907,75.54402076262727,71.45940113299164,40.51087607264019,68.92094081034173,76.46260675233458,80.02289202594429,75.06861345921617
1985.0,87887,5483,9543,10288,9615,7919,6517,6157,6558,6567,5976,5003,7517,25314,17534,12674,13125,18496,56152,942,3594,5554,6292,5651,4842,4773,5191,5246,4752,3842,5247,10089,11943,9615,10437,13841,63.89113293206049,17.18037570672989,37.66111285759195,53.98522550544323,65.43941757670306,71.36002020457128,74.29798987264078,77.5215202208868,79.15523025312595,79.88426983401857,79.51807228915662,76.79392364581251,69.80178262604763,39.85541597534961,68.1133797194023,75.86397348903266,79.52,74.83239619377161
1986.0,89145,5351,9670,10477,10050,8040,6711,6219,6509,6494,6078,5139,7612,25498,18090,12930,13003,18829,56844,922,3549,5619,6510,5668,4970,4857,5207,5183,4826,3966,5327,10090,12178,9827,10390,14118,63.76577486118122,17.230424219772004,36.70113753877973,53.631764818173146,64.77611940298507,70.49751243781095,74.05751750856803,78.09937288953208,79.99692733138731,79.81213427779488,79.40111878907535,77.17454757734968,69.98160798738834,39.57173111616598,67.31896075179658,76.0015467904099,79.90463739137122,74.98008391311275
1987.0,90517,5201,9540,10744,10159,8643,6963,6274,6407,6490,6209,5151,7921,25485,18802,13237,12897,19281,57915,830,3476,5750,6513,6118,5193,4882,5125,5218,4937,4002,5610,10057,12631,10075,10344,14549,63.98245633416927,15.95846952509133,36.43605870020964,53.51824274013403,64.11064081110347,70.78560684947355,74.57992244722102,77.81319732228243,79.99063524270329,80.40061633281972,79.51360927685617,77.69365171811299,70.82439085973992,39.462428879733174,67.17902350813743,76.11241217798595,80.20469876715515,75.45770447590893
1988.0,92020,5147,9539,10893,10322,8959,7463,6346,6303,6452,6317,5204,8179,25579,19281,13809,12755,19700,58700,813,3427,5799,6568,6336,5550,4890,4999,5146,5054,4042,5792,10038,12905,10440,10146,14888,63.79048033036297,15.795609092675345,35.92619771464514,53.23602313412283,63.63107924820771,70.72217881459984,74.36687659118317,77.05641348881184,79.31143899730287,79.75821450712958,80.00633211967705,77.67102229054574,70.81550311774055,39.24312912936393,66.93117576889166,75.60286769498154,79.5452763622109,75.5736040609137
1989.0,93489,5381,9747,11308,10622,9535,7822,6451,6238,6448,6320,5329,8290,26436,20157,14273,12686,19939,59755,892,3440,6016,6733,6696,5796,4978,4934,5162,5057,4144,5905,10348,13429,10774,10096,15106,63.91661051032742,16.57684445270396,35.292910639171026,53.20127343473647,63.38730935793636,70.2254850550603,74.0986959856814,77.16633080142613,79.09586405899327,80.05583126550869,80.01582278481013,77.763182585851,71.23039806996381,39.143592071417764,66.62201716525277,75.48518181181252,79.58379315781177,75.76107126736547
1990.0,94224,5143,9508,11213,10914,9893,8038,6532,6182,6446,6407,5397,8546,25864,20807,14570,12628,20350,60248,806,3344,5805,6880,6909,5941,5016,4870,5141,5128,4230,6178,9955,13789,10957,10011,15536,63.94124639157752,15.671786894808479,35.17038283550694,51.77026665477571,63.038299431922304,69.83725866774488,73.9114207514307,76.79118187385181,78.77709479132967,79.75488675147379,80.03745902918683,78.3768760422457,72.29113035338169,38.48979276214043,66.2709665016581,75.20247083047357,79.27621159328476,76.34398034398035
1991.0,95253,5075,9152,11318,11071,10419,8275,6763,6189,6306,6400,5516,8765,25545,21490,15038,12495,20681,61010,775,3093,5796,6891,7246,6101,5148,4922,5077,5209,4349,6404,9664,14137,11249,9999,15962,64.05047610049027,15.270935960591133,33.79589160839161,51.21046121222831,62.2436997561196,69.54602169114118,73.72809667673717,76.12006505988467,79.52819518500566,80.51062480177609,81.390625,78.84336475707035,73.06332002281802,37.83127813662165,65.78408562121916,74.80383029658199,80.02400960384153,77.18195445094531
1992.0,96391,4913,8926,11378,11351,10484,8847,7098,6206,6296,6353,5574,8964,25217,21835,15945,12502,20891,61823,732,3003,5745,6974,7249,6566,5411,4919,5112,5134,4405,6567,9480,14223,11977,10031,16106,64.13773070099906,14.899246895990231,33.64328926730899,50.492177887150646,61.439520747070745,69.14345669591759,74.21724878489884,76.23274161735701,79.26200451176281,81.19440914866583,80.81221470171572,79.0276282741299,73.25970548862115,37.59368679858825,65.13853904282117,75.11445594230166,80.23516237402015,77.0953999329855
