year,label,"United States, total",Less than 25 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 years and over,_Less than 35 years,_35 to 44 years,_45 to 54 years,_55 to 64 years,_65 years and over
1982,Total,83731,5905,9308,9647,8385,6913,6157,6383,6609,6348,5680,4792,6968,24860,15298,12540,12957,17440
1982,Owner,54237,1142,3594,5506,5666,5045,4677,5032,5288,5082,4427,3605,4947,10241,10711,9709,10370,12978
1983,Total,84565,5487,9337,9720,8722,7158,6251,6225,6573,6489,5719,4907,7152,24544,15880,12476,13062,17778
1983,Owner,54671,1031,3579,5387,5797,5211,4704,4906,5266,5176,4500,3702,5139,9997,11008,9610,10442,13341
1984,Total,86346,5536,9495,10024,9156,7553,6377,6152,6582,6523,5795,5009,7414,25055,16709,12529,13105,18218
1984,Owner,55671,993,3669,5488,6054,5463,4759,4821,5273,5214,4593,3784,5298,10150,11516,9580,10487,13676
1985,Total,87887,5483,9543,10288,9615,7919,6517,6157,6558,6567,5976,5003,7517,25314,17534,12674,13125,18496
1985,Owner,56152,942,3594,5554,6292,5651,4842,4773,5191,5246,4752,3842,5247,10089,11943,9615,10437,13841
1986,Total,89145,5351,9670,10477,10050,8040,6711,6219,6509,6494,6078,5139,7612,25498,18090,12930,13003,18829
1986,Owner,56844,922,3549,5619,6510,5668,4970,4857,5207,5183,4826,3966,5327,10090,12178,9827,10390,14118
1987,Total,90517,5201,9540,10744,10159,8643,6963,6274,6407,6490,6209,5151,7921,25485,18802,13237,12897,19281
1987,Owner,57915,830,3476,5750,6513,6118,5193,4882,5125,5218,4937,4002,5610,10057,12631,10075,10344,14549
1988,Total,92020,5147,9539,10893,10322,8959,7463,6346,6303,6452,6317,5204,8179,25579,19281,13809,12755,19700
1988,Owner,58700,813,3427,5799,6568,6336,5550,4890,4999,5146,5054,4042,5792,10038,12905,10440,10146,14888
1989,Total,93489,5381,9747,11308,10622,9535,7822,6451,6238,6448,6320,5329,8290,26436,20157,14273,12686,19939
1989,Owner,59755,892,3440,6016,6733,6696,5796,4978,4934,5162,5057,4144,5905,10348,13429,10774,10096,15106
1990,Total,94224,5143,9508,11213,10914,9893,8038,6532,6182,6446,6407,5397,8546,25864,20807,14570,12628,20350
1990,Owner,60248,806,3344,5805,6880,6909,5941,5016,4870,5141,5128,4230,6178,9955,13789,10957,10011,15536
1991,Total,95253,5075,9152,11318,11071,10419,8275,6763,6189,6306,6400,5516,8765,25545,21490,15038,12495,20681
1991,Owner,61010,775,3093,5796,6891,7246,6101,5148,4922,5077,5209,4349,6404,9664,14137,11249,9999,15962
1992,Total,96391,4913,8926,11378,11351,10484,8847,7098,6206,6296,6353,5574,8964,25217,21835,15945,12502,20891
1992,Owner,61823,732,3003,5745,6974,7249,6566,5411,4919,5112,5134,4405,6567,9480,14223,11977,10031,16106
1993,Total,97728,5068,8636,11353,11598,10685,9201,7600,6262,6229,6294,5665,9137,25057,22283,16801,12491,21096
1993,Owner,62998,759,2936,5794,7199,7374,6799,5861,4933,5039,5076,4527,6701,9489,14573,12660,9972,16304
1993.5,Total,97717,5342,8848,11406,11656,10801,9191,7438,6107,6091,6164,5599,9074,25596,22457,16629,12198,20837
1993.5,Owner,62535,792,2976,5791,7198,7413,6777,5739,4816,4930,4973,4473,6657,9559,14611,12516,9746,16103
1994,Total,98695,5408,8628,11284,11906,10931,9611,7637,6284,5972,6113,5681,9236,25320,22837,17248,12256,21030
1994,Owner,63136,807,2941,5705,7283,7450,7094,5868,4928,4786,4928,4552,6793,9453,14733,12962,9714,16273
1995,Total,99986,5502,8662,11206,11993,11151,10080,7882,6355,5860,6088,5693,9514,25370,23144,17962,12215,21295
1995,Owner,64738,875,2981,5947,7442,7651,7433,6068,5005,4707,4931,4605,7093,9803,15093,13501,9712,16629
1996,Total,100983,5467,8669,10936,12083,11644,10523,7981,6474,5836,6099,5602,9669,25072,23727,18504,12310,21370
1996,Owner,66042,985,3010,5798,7498,8036,7834,6162,5138,4712,5023,4562,7284,9793,15534,13996,9850,16869
1997,Total,102201,5517,8755,10622,12166,11869,10532,8650,6731,5947,5926,5574,9912,24894,24035,19182,12678,21412
1997,Owner,67142,979,3061,5590,7613,8267,7812,6724,5364,4786,4856,4573,7517,9630,15880,14536,10150,16946
1998,Total,103533,5750,8666,10494,12026,12141,10744,9040,7051,6055,5852,5583,10131,24910,24167,19784,13106,21566
1998,Owner,68637,1045,3134,5623,7655,8504,7938,7031,5627,4974,4793,4590,7723,9802,16159,14969,10601,17106
1999,Total,104929,6000,8661,10400,11950,12206,10973,9412,7389,6183,5845,5621,10289,25061,24156,20385,13572,21755
1999,Owner,70098,1195,3160,5594,7690,8538,8179,7320,5962,5027,4847,4653,7933,9949,16228,15499,10989,17433
2000,Total,105719,6221,8482,10219,11834,12377,11164,9834,7602,6215,5816,5567,10388,24922,24211,20998,13817,21771
2000,Owner,71249,1350,3228,5583,7689,8740,8340,7718,6109,4991,4829,4598,8074,10161,16429,16058,11100,17501
2001,Total,107009,6460,8358,10301,11587,12504,11529,10288,7827,6345,5749,5496,10565,25119,24091,21817,14172,21810
2001,Owner,72594,1456,3255,5649,7594,8847,8697,8046,6337,5189,4738,4535,8251,10360,16441,16743,11526,17524
2002,Total,108538,6715,8411,10352,11356,12538,11741,10407,8511,6591,5815,5292,10809,25478,23894,22148,15102,21916
2002,Owner,73712,1544,3282,5696,7407,8994,8792,8099,6876,5371,4816,4365,8470,10522,16401,16891,12247,17651
2002.5,Total,104966,6372,8231,10176,10924,11839,11204,10123,8261,6422,5644,5137,10632,24779,22763,21327,14683,21413
2002.5,Owner,71278,1459,3194,5583,7119,8493,8385,7881,6677,5238,4679,4240,8331,10236,15612,16266,11915,17250
2003,Total,105560,6441,8213,10084,10777,11748,11341,10194,8550,6776,5570,5163,10703,24738,22525,21535,15326,21436
2003,Owner,72054,1469,3272,5698,7018,8376,8555,7944,6916,5552,4597,4236,8420,10439,15394,16499,12468,17253
2004,Total,106587,6538,8491,9865,10438,11768,11583,10316,8928,7112,5656,5065,10827,24894,22206,21899,16040,21548
2004,Owner,73574,1646,3414,5666,6905,8465,8833,8072,7248,5860,4708,4225,8532,10726,15370,16905,13108,17465
2005,Total,108231,6536,8790,9583,10526,11722,11780,10595,9504,7336,5900,5016,10943,24909,22248,22375,16840,21859
2005,Owner,74553,1682,3597,5444,7010,8402,8834,8295,7661,6007,4886,4156,8580,10723,15412,17129,13668,17622
2006,Total,109576,6578,8975,9423,10520,11484,11988,10896,9919,7604,6074,5057,11058,24976,22004,22884,17523,22189
2006,Owner,75380,1629,3748,5271,6987,8174,8979,8466,7973,6200,5007,4195,8751,10648,15161,17445,14173,17953
2007,Total,110306,6494,9170,9349,10499,11125,12007,11082,10013,8108,6330,5063,11065,25013,21624,23089,18121,22458
2007,Owner,75159,1609,3719,5090,6829,7834,8889,8522,7999,6611,5169,4173,8714,10418,14663,17411,14610,18056
2008,Total,111409,6272,9094,9343,10550,10974,11968,11415,10217,8601,6642,5114,11219,24710,21524,23382,18818,22976
2008,Owner,75566,1482,3641,4998,6811,7614,8812,8725,8107,6962,5421,4176,8816,10120,14425,17537,15069,18414
2009,Total,111344,6106,9076,9331,10185,10705,11861,11605,10226,8920,6822,5288,11220,24513,20890,23466,19146,23330
2009,Owner,75014,1424,3421,4897,6462,7358,8578,8874,8038,7186,5592,4331,8852,9742,13820,17452,15224,18775
2010,Total,111860,6060,9041,9477,9794,10525,11690,11721,10437,9345,7038,5449,11285,24578,20319,23411,19781,23772
2010,Owner,74791,1385,3327,4890,6065,7144,8418,8793,8112,7513,5744,4492,8908,9601,13209,17212,15625,19144
2011,Total,113534,6079,9062,9957,9667,10515,11449,11784,10848,9841,7306,5556,11468,25098,20183,23234,20689,24330
2011,Owner,75091,1373,3134,4958,5777,7031,8123,8762,8385,7856,5970,4629,9094,9465,12807,16886,16240,19693
2012,Total,114512,6073,8778,9969,9565,10669,10968,11845,11289,9949,7984,5813,11613,24820,20234,22812,21237,25409
2012,Owner,74929,1318,3008,4771,5445,6987,7662,8694,8603,7824,6479,4855,9285,9097,12431,16356,16426,20619
2013,Total,114673,6126,8729,9963,9502,10351,10706,11836,11310,9967,8311,6171,11702,24818,19853,22542,21277,26183
2013,Owner,74668,1361,2977,4792,5302,6729,7456,8597,8569,7729,6693,5108,9356,9130,12031,16052,16298,21157
2014,Total,115461,6111,8812,10044,9659,10121,10509,11674,11334,10141,8694,6429,11934,24967,19780,22183,21475,27057
2014,Owner,74427,1329,2885,4730,5410,6399,7202,8481,8551,7832,6984,5247,9379,8943,11808,15683,16383,21609
2015,Total,117345,6122,9008,10090,9822,10086,10563,11448,11565,10494,9299,6690,12159,25220,19908,22011,22058,28147
2015,Owner,74706,1335,2856,4634,5429,6210,7187,8219,8638,7999,7370,5442,9386,8825,11640,15406,16637,22199
2016,Total,118275,6157,9076,10136,10081,9861,10507,11214,11674,10633,9621,6939,12378,25369,19941,21721,22306,28937
2016,Owner,75016,1348,2802,4606,5574,6109,7012,8034,8638,8097,7603,5666,9526,8756,11683,15047,16735,22795
2017,Total,119272,5932,9260,10139,10335,9716,10519,10869,11581,10970,9752,7551,12650,25331,20051,21387,22551,29953
2017,Owner,76170,1338,2969,4635,5827,6007,7098,7728,8546,8440,7717,6144,9721,8942,11834,14826,16986,23581
2018,Total,121458,6028,9538,10240,10582,9675,10498,10849,11541,11314,10008,8023,13163,25806,20257,21347,22855,31194
2018,Owner,78211,1370,3102,4882,6091,6082,7182,7784,8539,8690,7933,6468,10087,9354,12174,14966,17229,24487
