STATE,STATENAME,ST_CASE,VEH_NO,MDRDSTRD,MDRDSTRDNAME
1,Alabama,10001,1,99,Reported as Unknown if Distracted
1,Alabama,10001,2,0,Not Distracted
1,Alabama,10002,1,99,Reported as Unknown if Distracted
1,Alabama,10002,2,99,Reported as Unknown if Distracted
1,Alabama,10003,1,99,Reported as Unknown if Distracted
1,Alabama,10003,2,0,Not Distracted
1,Alabama,10003,3,96,Not Reported
1,Alabama,10004,1,0,Not Distracted
1,Alabama,10005,1,99,Reported as Unknown if Distracted
1,Alabama,10006,1,96,Not Reported
1,Alabama,10006,2,0,Not Distracted
1,Alabama,10007,1,96,Not Reported
1,Alabama,10008,1,99,Reported as Unknown if Distracted
1,Alabama,10009,1,99,Reported as Unknown if Distracted
1,Alabama,10010,1,99,Reported as Unknown if Distracted
1,Alabama,10011,1,0,Not Distracted
1,Alabama,10012,1,96,Not Reported
1,Alabama,10013,1,96,Not Reported
1,Alabama,10014,1,96,Not Reported
1,Alabama,10015,1,99,Reported as Unknown if Distracted
1,Alabama,10015,2,0,Not Distracted
1,Alabama,10016,1,99,Reported as Unknown if Distracted
1,Alabama,10016,2,96,Not Reported
1,Alabama,10016,3,96,Not Reported
1,Alabama,10017,1,96,Not Reported
1,Alabama,10017,2,96,Not Reported
1,Alabama,10018,1,0,Not Distracted
1,Alabama,10019,1,99,Reported as Unknown if Distracted
1,Alabama,10020,1,99,Reported as Unknown if Distracted
1,Alabama,10021,1,99,Reported as Unknown if Distracted
1,Alabama,10021,2,96,Not Reported
1,Alabama,10022,1,99,Reported as Unknown if Distracted
1,Alabama,10023,1,99,Reported as Unknown if Distracted
1,Alabama,10023,2,99,Reported as Unknown if Distracted
1,Alabama,10024,1,99,Reported as Unknown if Distracted
1,Alabama,10025,1,96,Not Reported
1,Alabama,10025,2,0,Not Distracted
1,Alabama,10025,3,96,Not Reported
1,Alabama,10026,1,96,Not Reported
1,Alabama,10027,1,99,Reported as Unknown if Distracted
1,Alabama,10028,1,99,Reported as Unknown if Distracted
1,Alabama,10028,2,96,Not Reported
1,Alabama,10028,3,96,Not Reported
1,Alabama,10028,4,96,Not Reported
1,Alabama,10029,1,99,Reported as Unknown if Distracted
1,Alabama,10030,1,96,Not Reported
1,Alabama,10031,1,96,Not Reported
1,Alabama,10031,2,96,Not Reported
1,Alabama,10032,1,92,"Distraction (Distracted), Details Unknown"
1,Alabama,10033,1,96,Not Reported
1,Alabama,10033,2,96,Not Reported
1,Alabama,10034,1,96,Not Reported
1,Alabama,10034,2,96,Not Reported
1,Alabama,10035,1,99,Reported as Unknown if Distracted
1,Alabama,10036,1,99,Reported as Unknown if Distracted
1,Alabama,10037,1,0,Not Distracted
1,Alabama,10038,1,96,Not Reported
1,Alabama,10039,1,99,Reported as Unknown if Distracted
1,Alabama,10040,1,99,Reported as Unknown if Distracted
1,Alabama,10041,1,99,Reported as Unknown if Distracted
1,Alabama,10042,1,96,Not Reported
1,Alabama,10042,2,96,Not Reported
1,Alabama,10043,1,96,Not Reported
1,Alabama,10043,2,96,Not Reported
1,Alabama,10044,1,96,Not Reported
1,Alabama,10044,2,0,Not Distracted
1,Alabama,10045,1,96,Not Reported
1,Alabama,10045,2,96,Not Reported
1,Alabama,10046,1,96,Not Reported
1,Alabama,10047,1,99,Reported as Unknown if Distracted
1,Alabama,10047,2,99,Reported as Unknown if Distracted
1,Alabama,10048,1,99,Reported as Unknown if Distracted
1,Alabama,10049,1,99,Reported as Unknown if Distracted
1,Alabama,10050,1,96,Not Reported
1,Alabama,10050,2,0,Not Distracted
1,Alabama,10051,1,96,Not Reported
1,Alabama,10051,2,99,Reported as Unknown if Distracted
1,Alabama,10052,1,99,Reported as Unknown if Distracted
1,Alabama,10052,2,0,Not Distracted
1,Alabama,10053,1,3,By Other Occupant(s)
1,Alabama,10054,1,0,Not Distracted
1,Alabama,10055,1,99,Reported as Unknown if Distracted
1,Alabama,10055,2,0,Not Distracted
1,Alabama,10056,1,96,Not Reported
1,Alabama,10056,2,0,Not Distracted
1,Alabama,10057,1,99,Reported as Unknown if Distracted
1,Alabama,10058,1,99,Reported as Unknown if Distracted
1,Alabama,10059,1,99,Reported as Unknown if Distracted
1,Alabama,10059,2,96,Not Reported
1,Alabama,10059,3,96,Not Reported
1,Alabama,10060,1,99,Reported as Unknown if Distracted
1,Alabama,10060,2,0,Not Distracted
1,Alabama,10061,1,99,Reported as Unknown if Distracted
1,Alabama,10062,1,96,Not Reported
1,Alabama,10062,2,96,Not Reported
1,Alabama,10063,1,99,Reported as Unknown if Distracted
1,Alabama,10064,1,96,Not Reported
1,Alabama,10065,1,99,Reported as Unknown if Distracted
1,Alabama,10066,1,99,Reported as Unknown if Distracted
1,Alabama,10066,2,99,Reported as Unknown if Distracted
1,Alabama,10067,1,0,Not Distracted
1,Alabama,10068,1,99,Reported as Unknown if Distracted
1,Alabama,10068,2,99,Reported as Unknown if Distracted
1,Alabama,10068,3,96,Not Reported
1,Alabama,10068,4,96,Not Reported
1,Alabama,10069,1,0,Not Distracted
1,Alabama,10069,2,96,Not Reported
1,Alabama,10070,1,99,Reported as Unknown if Distracted
1,Alabama,10071,1,99,Reported as Unknown if Distracted
1,Alabama,10072,1,99,Reported as Unknown if Distracted
1,Alabama,10073,1,0,Not Distracted
1,Alabama,10074,1,7,Adjusting Audio Or Climate Controls
1,Alabama,10074,2,96,Not Reported
1,Alabama,10075,1,99,Reported as Unknown if Distracted
1,Alabama,10076,1,99,Reported as Unknown if Distracted
1,Alabama,10076,2,16,No Driver Present/Unknown if Driver present
1,Alabama,10077,1,99,Reported as Unknown if Distracted
1,Alabama,10078,1,99,Reported as Unknown if Distracted
1,Alabama,10078,2,96,Not Reported
1,Alabama,10079,1,99,Reported as Unknown if Distracted
1,Alabama,10080,1,99,Reported as Unknown if Distracted
1,Alabama,10081,1,99,Reported as Unknown if Distracted
1,Alabama,10081,2,99,Reported as Unknown if Distracted
1,Alabama,10082,1,0,Not Distracted
1,Alabama,10082,2,99,Reported as Unknown if Distracted
1,Alabama,10083,1,96,Not Reported
1,Alabama,10083,2,0,Not Distracted
1,Alabama,10084,1,99,Reported as Unknown if Distracted
1,Alabama,10084,2,96,Not Reported
1,Alabama,10085,1,99,Reported as Unknown if Distracted
1,Alabama,10086,1,0,Not Distracted
1,Alabama,10086,2,96,Not Reported
1,Alabama,10087,1,99,Reported as Unknown if Distracted
1,Alabama,10089,1,96,Not Reported
1,Alabama,10089,2,0,Not Distracted
1,Alabama,10089,3,0,Not Distracted
1,Alabama,10090,1,96,Not Reported
1,Alabama,10090,2,96,Not Reported
1,Alabama,10091,1,92,"Distraction (Distracted), Details Unknown"
1,Alabama,10092,1,96,Not Reported
1,Alabama,10093,1,99,Reported as Unknown if Distracted
1,Alabama,10094,1,96,Not Reported
1,Alabama,10095,1,99,Reported as Unknown if Distracted
1,Alabama,10096,1,96,Not Reported
1,Alabama,10096,2,96,Not Reported
1,Alabama,10097,1,99,Reported as Unknown if Distracted
1,Alabama,10098,1,96,Not Reported
1,Alabama,10098,2,0,Not Distracted
1,Alabama,10099,1,99,Reported as Unknown if Distracted
1,Alabama,10099,2,99,Reported as Unknown if Distracted
1,Alabama,10100,1,99,Reported as Unknown if Distracted
1,Alabama,10100,2,0,Not Distracted
1,Alabama,10101,1,96,Not Reported
1,Alabama,10101,2,96,Not Reported
1,Alabama,10102,1,99,Reported as Unknown if Distracted
1,Alabama,10103,1,6,While Manipulating Mobile Phone
