ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,13,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,23,23,23,23,23,23,23,23,23,23
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,19,19,19,19,19,19,19,19,19,19
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,11,0,0,12,0,0,0
10011,19,33,11,33,4,15,17,5,9,30
10012,0,0,0,0,0,0,0,0,0,0
10013,0,19,0,0,16,0,0,0,9,0
10014,0,0,0,0,0,0,0,0,0,0
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,11,0,0,14,0
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,15,0,0,27,0,26
10025,0,0,0,18,0,0,0,0,0,0
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,18,18,18,18,18,18,18,18,18,18
10029,0,0,0,0,22,0,0,0,0,0
10030,0,0,12,0,33,0,0,0,25,0
10031,22,22,22,22,22,22,22,22,22,22
10032,0,0,0,0,0,0,0,0,0,0
10033,8,8,8,8,8,8,8,8,8,8
10034,0,0,0,0,0,0,0,0,0,0
10035,6,0,16,6,35,17,18,13,10,16
10036,16,16,16,16,16,16,16,16,16,16
10037,0,19,0,16,9,0,0,0,0,0
10038,20,20,20,20,20,20,20,20,20,20
10039,18,18,18,18,18,18,18,18,18,18
10040,28,27,3,11,18,24,16,24,17,24
10041,25,25,25,25,25,25,25,25,25,25
10042,28,28,28,28,28,28,28,28,28,28
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,37
10047,20,0,0,0,0,0,0,0,0,0
10048,22,22,22,22,22,22,22,22,22,22
