ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,0,0,0,0,0,0,0,0,0
10001,2,1,0,0,0,0,0,0,0,0,0,0
10002,1,1,0,0,0,0,0,0,0,0,0,0
10002,2,1,0,13,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,0,0,0,0,0,0,0
10003,3,1,0,0,0,0,0,0,0,0,0,0
10004,0,1,16,16,16,16,16,16,16,16,16,16
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,23,23,23,23,23,23,23,23,23,23
10006,1,1,0,0,0,0,0,0,0,0,0,0
10006,2,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,19,19,19,19,19,19,19,19,19,19
10009,1,1,0,0,0,0,0,0,0,0,0,0
10010,0,1,0,0,0,0,0,0,0,0,0,0
10010,1,1,0,0,0,11,0,0,12,0,0,0
10011,1,1,19,33,11,33,4,15,17,5,9,30
10012,0,1,0,0,0,0,0,0,0,0,0,17
10012,1,1,0,0,0,0,0,0,0,0,0,0
10013,0,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,0,19,0,0,16,0,0,0,9,0
10014,0,1,11,11,11,11,11,11,11,11,11,11
10014,1,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10015,2,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,0,0,0,0,0,0,0,0,0,0
10016,2,1,0,0,0,0,0,0,0,0,0,0
10016,3,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,0,0,0,0,0,0
10017,2,1,0,0,0,0,0,0,0,0,0,0
10018,0,1,21,21,21,21,21,21,21,21,21,21
10018,1,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,0,0,0,0,0,11,0,0,14,0
10021,2,1,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10023,2,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,15,0,0,27,0,26
10025,1,1,0,0,0,0,0,0,0,0,0,0
10025,2,1,0,0,0,0,0,0,0,0,0,0
10025,3,1,0,0,0,18,0,0,0,0,0,0
10026,1,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,18,18,18,18,18,18,18,18,18,18
10028,2,1,0,0,0,0,0,0,0,0,0,0
10028,3,1,0,0,0,0,0,0,0,0,0,0
10028,4,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,0,0,0,0,22,0,0,0,0,0
10030,1,1,0,0,12,0,33,0,0,0,25,0
10031,1,1,22,22,22,22,22,22,22,22,22,22
10031,2,1,12,0,0,0,0,0,0,0,0,0
10032,1,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,8,8,8,8,8,8,8,8,8,8
10033,2,1,0,0,0,0,0,0,0,0,0,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,0,0,0,0,0,0,0,0,0
10035,1,1,6,0,16,6,35,17,18,13,10,16
10036,1,1,16,16,16,16,16,16,16,16,16,16
10037,1,1,0,19,0,16,9,0,0,0,0,0
10038,1,1,20,20,20,20,20,20,20,20,20,20
10039,1,1,18,18,18,18,18,18,18,18,18,18
10040,1,1,28,27,3,11,18,24,16,24,17,24
10041,1,1,25,25,25,25,25,25,25,25,25,25
10042,1,1,28,28,28,28,28,28,28,28,28,28
10042,2,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,0,0,0,0,0,0,0,0,0,0
