"STATE","STATENAME","ST_CASE","VEH_NO","PVE_FORMS","PNUMOCCS","PNUMOCCSNAME","PDAY","PDAYNAME","PMONTH","PMONTHNAME","PHOUR","PHOURNAME","PMINUTE","PMINUTENAME","PHARM_EV","PHARM_EVNAME","PMAN_COLL","PMAN_COLLNAME","PTYPE","PTYPENAME","PHIT_RUN","PHIT_RUNNAME","PREG_STAT","PREG_STATNAME","POWNER","POWNERNAME","PMAKE","PMAKENAME","PMODEL","PMAK_MOD","PBODYTYP","PBODYTYPNAME","PMODYEAR","PMODYEARNAME","PVIN","PVINNAME","PVIN_1","PVIN_2","PVIN_3","PVIN_4","PVIN_5","PVIN_6","PVIN_7","PVIN_8","PVIN_9","PVIN_10","PVIN_11","PVIN_12","PTRAILER","PTRAILERNAME","PMCARR_I1","PMCARR_I1NAME","PMCARR_I2","PMCARR_I2NAME","PMCARR_ID","PMCARR_IDNAME","PGVWR","PGVWRNAME","PV_CONFIG","PV_CONFIGNAME","PCARGTYP","PCARGTYPNAME","PHAZ_INV","PHAZ_INVNAME","PHAZPLAC","PHAZPLACNAME","PHAZ_ID","PHAZ_IDNAME","PHAZ_CNO","PHAZ_CNONAME","PHAZ_REL","PHAZ_RELNAME","PBUS_USE","PBUS_USENAME","PSP_USE","PSP_USENAME","PEM_USE","PEM_USENAME","PUNDERIDE","PUNDERIDENAME","PIMPACT1","PIMPACT1NAME","PVEH_SEV","PVEH_SEVNAME","PTOWED","PTOWEDNAME","PM_HARM","PM_HARMNAME","PVEH_SC1","PVEH_SC1NAME","PVEH_SC2","PVEH_SC2NAME","PFIRE","PFIRENAME","PDEATHS","PTRLR1VIN","PTRLR1VINNAME","PTRLR2VIN","PTRLR2VINNAME","PTRLR3VIN","PTRLR3VINNAME"
1,"Alabama",10072,2,1,1,1,1,1,3,"March",13,"1:00pm-1:59pm",5,5,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",7,"Dodge",881,"Dodge Medium/Heavy - CBE",61,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",2015,2015,"3C7WRTAL4FG5","3C7WRTAL4FG5",3,"C",7,"W","R","T","A","L",4,"F","G",5,1,"One Trailing Unit",88,"None",888888888,"None",88888888888,"None",2,"10,001 lbs - 26,000 lbs",4,"Truck Pulling Trailer(s)",98,"Unknown Cargo Body Type",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",4,"Functional Damage",3,"Towed Not Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10101,3,2,0,"None",2,2,3,"March",11,"11:00am-11:59am",22,22,12,"Motor Vehicle In-Transport",6,"Angle",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",20,"Chevrolet",481,"Chevrolet C, K, R, V-series pickup/Silverado",34,"Light Pickup",2018,2018,"3GCUKREC8JG2","3GCUKREC8JG2",3,"G","C","U","K","R","E","C",8,"J","G",2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10101,4,2,0,"None",2,2,3,"March",11,"11:00am-11:59am",22,22,12,"Motor Vehicle In-Transport",6,"Angle",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",12,"Ford",37,"Ford Focus",4,"4-door sedan, hardtop",2005,2005,"1FAFP34N35W2","1FAFP34N35W2",1,"F","A","F","P",3,4,"N",3,5,"W",2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",7,"7 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10101,5,2,0,"None",2,2,3,"March",11,"11:00am-11:59am",22,22,12,"Motor Vehicle In-Transport",6,"Angle",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",19,"Cadillac",401,"Cadillac XT5",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2017,2017,"1GYKNBRS0HZ2","1GYKNBRS0HZ2",1,"G","Y","K","N","B","R","S",0,"H","Z",2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",8,"8 Clock Point",2,"Minor Damage",5,"Not Towed",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10126,2,1,0,"None",5,5,4,"April",5,"5:00am-5:59am",15,15,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",23,"GMC",481,"GMC C, K, R, V-series pickup/     Sierra",34,"Light Pickup",2009,2009,"1GTEC29C39Z1","1GTEC29C39Z1",1,"G","T","E","C",2,9,"C",3,9,"Z",1,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10128,2,1,0,"None",29,29,3,"March",22,"10:00pm-10:59pm",0,0,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",92,"No Registration",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",35,"Nissan/Datsun",47,"Nissan/Datsun Altima",4,"4-door sedan, hardtop",2001,2001,"1N4DL01D31C1","1N4DL01D31C1",1,"N",4,"D","L",0,1,"D",3,1,"C",1,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10147,3,2,0,"None",23,23,3,"March",19,"7:00pm-7:59pm",32,32,12,"Motor Vehicle In-Transport",6,"Angle",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",99,"Reported as Unknown",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",41,"Mazda",471,"Mazda Pickup/ B-Series Pickup",34,"Light Pickup",2003,2003,999999999999,"Reported as Unknown",9,9,9,9,9,9,9,9,9,9,9,9,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",10,"10 Clock Point",4,"Functional Damage",9,"Reported as Unknown",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10147,4,2,0,"None",23,23,3,"March",19,"7:00pm-7:59pm",32,32,12,"Motor Vehicle In-Transport",6,"Angle",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",99,"Reported as Unknown",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",20,"Chevrolet",473,"Chevrolet Colorado",34,"Light Pickup",2005,2005,999999999999,"Reported as Unknown",9,9,9,9,9,9,9,9,9,9,9,9,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",11,"11 Clock Point",4,"Functional Damage",9,"Reported as Unknown",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10169,2,1,0,"None",31,31,3,"March",0,"0:00am-0:59am",15,15,59,"Traffic Sign Support",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",99,"Unknown Make",999,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",99,"Unknown body type",9999,"Unknown",999999999999,"Reported as Unknown",9,9,9,9,9,9,9,9,9,9,9,9,0,"No Trailing Units",99,"Reported as Unknown",999999999,"Reported as Unknown",99999999999,"Reported as Unknown",9,"Reported as Unknown",99,"Reported as Unknown",99,"Reported as Unknown",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",99,"Reported as Unknown",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",9,"Reported as Unknown",8,"Not Reported",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10247,2,1,0,"None",8,8,5,"May",19,"7:00pm-7:59pm",0,0,44,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",12,"Ford",481,"Ford F-Series pickup",34,"Light Pickup",1987,1987,999999999999,"Reported as Unknown",9,9,9,9,9,9,9,9,9,9,9,9,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",9,"9 Clock Point",4,"Functional Damage",8,"Not Reported",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
