STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMHELMET,NMHELMETNAME,NMPROPAD,NMPROPADNAME,NMOTHPRO,NMOTHPRONAME,NMREFCLO,NMREFCLONAME,NMLIGHT,NMLIGHTNAME,NMOTHPRE,NMOTHPRENAME
1,Alabama,10004,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10010,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10012,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10013,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10014,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10018,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10046,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10047,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10051,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10054,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10064,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10079,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10082,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10089,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10094,0,1,1,No,1,No,1,No,2,Yes,1,No,1,No
1,Alabama,10101,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10101,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10102,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10106,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10110,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10122,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10126,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10126,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10138,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10158,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10159,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10178,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10185,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10190,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10192,0,1,1,No,1,No,1,No,2,Yes,2,Yes,1,No
1,Alabama,10196,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10198,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10200,0,1,1,No,1,No,1,No,1,No,1,No,1,No
