Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.61912,97.14286,94.40407,94.75524,90.21592,90.5599,88.19797,93.18612,95.58824,95.13303,96.24258,94.7861,,,96.57064,101.18056,,,,,
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,16.657,,,17.88076,19.65284,,26.37324,32.70612,,,17.89103,18.5706,,,,,,,,27.57517,,,,,,,,,,,,,,,,,,,,,,,79.9346,84.41495,85.62533,
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,42.94057,37.20602,,,,,,,,,29.2,,,,,,,,,,,,,,,,,39.19701,38.78758,39.80721,46.18715,,,,,,,,
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58609,,,,96.58269,96.39394,,94.44817,93.4378,,,96.19241,92.39359,91.05149,88.83624,92.98266,98.67213,89.53918,100.98472,98.86159,99.88155,101.9837,101.53786,
Andorra,AND,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,49.13572,49.05432,48.69493,50.20529,51.69679,54.69984,56.30582,58.3688,57.72272,53.49643,56.5458,59.97715,60.72071,61.89221,64.25216,68.30731,67.36877,67.27324,67.73192,67.91991,69.26254,69.28807,70.07372,70.30445,71.16401,72.20207,73.25232,74.11203,75.12401,76.0034,75.54742,76.56348,77.41953,79.82804,81.66797,82.69515,80.90485,82.70838,84.57465,82.8911,84.36583,85.17569,87.03526,85.06061,85.99188,85.61407,85.12254,84.44785,84.96593,
United Arab Emirates,ARE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,39.54043,41.73529,49.50407,56.75738,60.69887,65.70792,68.13439,72.32185,81.88112,81.29384,78.24466,74.31792,75.94767,76.38062,74.71659,82.1958,91.0654,97.51193,95.8975,93.30295,91.96445,89.86238,85.79584,87.83368,85.29477,83.75656,80.28414,76.57745,80.73299,,,,,97.45089,,,,,93.94156,95.68699,99.14915,103.5202,,,,
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,70.97234,71.83389,,,75.57644,78.91169,78.63954,,,,,,,,,,,,,,,,,,98.5776,,92.96326,91.52876,99.15172,97.20204,97.34647,96.82166,100.51583,98.16794,96.57995,94.64183,97.10248,99.86782,103.14217,103.30387,103.56741,103.88771,103.35225,101.64501,103.10644,102.97374,103.89357,99.96276,,
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2638,,,93.8955,,,,,93.70576,89.27111,100.04747,92.69158,93.81121,102.06971,105.79289,,94.49523,93.80897,93.85169,,96.65223,94.59064,90.75161,91.98771,89.87896,
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,78.6485,79.98853,,,,,,,,,,,,,,,,85.85056,,,,,,,,,,,,,,,,110.5548,101.2633,106.60995,103.67695,,,111.15032,92.55548,,98.18578,96.19883,
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,94.99666,96.87254,97.0621,,,,,,,,,,,,,,,,,,,,,,,,,100.91772,100.87488,,,100.2222,,98.7443,,,,,,,96.77202,96.69372,97.60601,98.69185,100.37379,99.65672,99.45318,,
Azerbaijan,AZE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44946,93.98862,91.50957,82.40272,99.47011,95.40026,92.1731,89.51351,95.16858,97.58601,92.69615,95.59543,93.43062,91.60543,98.13037,90.73683,91.77172,89.51445,92.80683,91.99119,88.08941,98.12571,103.28021,111.30191,107.17217,100.21995,
Burundi,BDI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,5.74469,,10.70661,10.85875,11.56673,10.84548,11.10624,11.15045,11.2934,11.49689,11.78833,14.08068,19.1787,26.28512,27.41909,28.42155,28.1072,38.91805,33.14085,41.07459,45.66586,48.79233,52.02534,,,,,,,24.3505,24.78704,25.1834,29.58314,31.792,33.94643,,38.66096,41.65349,48.35906,51.54842,56.37577,62.99792,70.71984,69.56656,64.53968,67.67451,68.3787,63.02139,
Belgium,BEL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,67.98804,69.60117,70.51772,72.43759,74.49121,67.96523,68.04034,74.23994,76.79476,71.67524,75.10009,73.31643,72.09045,71.35023,73.08248,,,79.33482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,18.20833,21.27856,21.73355,20.57695,25.22241,25.13122,24.51638,26.68091,28.04579,29.93704,31.09344,33.60303,36.3956,29.75931,33.74224,30.75686,29.6745,27.33658,27.02061,18.79125,21.3861,21.65839,23.79172,25.74076,30.2515,32.36267,34.78397,37.52402,,37.80433,41.67732,43.78899,48.11963,51.87132,,,,63.6705,,66.71161,71.68802,73.04108,78.6056,79.4544,81.14033,80.74556,,,
Burkina Faso,BFA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,7.19572,6.79262,7.03776,6.79653,7.6261,7.55316,8.55744,8.74263,9.5608,9.32447,10.29991,10.54666,11.30796,12.30674,13.90582,,15.82594,16.91584,16.58723,19.4958,19.95185,26.68047,26.24488,27.11621,18.59446,22.57244,,,23.46804,25.42222,26.67762,27.48547,29.11165,30.42653,31.73658,32.80562,34.97427,38.86926,43.91451,47.05522,,57.36603,62.34405,60.8495,62.0298,61.72434,63.51922,65.47893,
Bangladesh,BGD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,44.57195,32.58475,,,,28.92748,,,,,,,,47.25962,,,,,,,,,,,,,,,,66.32055,,,59.02299,65.45804,67.83219,,,,,,,,,
Bulgaria,BGR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,96.84844,97.45319,96.93664,102.33632,93.29933,93.77277,91.18566,92.03595,102.43197,103.42747,100.25177,96.56124,93.6946,99.4747,110.22928,99.53954,102.72143,102.49434,101.42823,99.11777,89.24223,87.50995,85.98764,88.20148,87.87816,90.34157,94.4768,93.95419,96.07269,96.15943,101.75486,96.56689,97.79256,98.64273,98.65926,99.35086,101.33284,95.15365,101.7044,113.33956,110.20104,101.81056,98.95879,97.95254,96.19129,92.04534,89.81647,,
Bahrain,BHR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,93.017,89.71205,91.14696,93.62425,90.69027,92.79666,99.65445,105.09182,,102.98175,100.89286,99.6645,94.57149,93.93596,92.05882,,94.39926,100.38539,98.78815,96.68489,100.54143,100.10331,102.04712,101.62845,,,,,,89.47138,93.22642,94.48237,96.64722,98.74027,99.51365,99.4512,97.87412,
"Bahamas, The",BHS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3255,,,,,82.17275,,,,,,101.86549,95.83603,96.38708,92.28225,90.46501,82.40611,89.73962,89.3228,79.21593,80.06567,85.2287,77.42339,,76.45863,
Bosnia and Herzegovina,BIH,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,102.69298,101.84066,104.90479,100.18263,99.1073,98.14824,96.89145,99.51853,99.5619,100.75746,100.43351,100.15714,100.26064,99.9695,98.74678,98.97255,,,,94.98883,94.74938,90.12127,96.5809,98.47768,96.14678,95.73091,95.92075,,98.79435,102.32492,106.73311,132.67658,103.18908,102.71907,98.86845,97.65107,96.30975,99.11292,105.84522,106.97272,107.90568,104.07646,100.26494,98.66791,96.76221,96.86775,101.68101,104.61791,
Belize,BLZ,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.92244,,,89.16447,95.67039,,,98.95243,100.05013,100.81809,,97.24398,97.6512,98.44108,97.45409,98.9947,94.90599,99.68442,100.7419,103.95196,108.05772,101.69878,102.0612,104.2318,105.33762,102.60971,104.47448,
Bermuda,BMU,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,69.933,,,,,,,,,,,,,,,,,,,,,,,,,,94.46367,98.95592,95.68765,90.12926,90.48751,90.59107,,,,103.20924,95.56136,94.80692,98.23609,88.95028,91.57303,,,,
