Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01192,0.99266,0.99949,0.989,0.97706,0.95291,0.96339,0.96798,0.98676,1.00561,1.00444,1.0146,1.00871,1.02156,,,,,,,
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.1672,0.1612,0.16084,0.16874,0.16695,0.1739,0.18063,0.19228,0.19883,,,0.24223,0.48358,,0.46995,0.47603,0.53094,,0.49966,,,0.53706,,0.36177,0.432,0.47404,,,,,,0,,0.54426,0.40582,0.54769,0.57323,0.5672,0.58602,0.60961,0.62581,0.66345,0.66925,0.65533,0.65402,0.64233,0.64567,0.64169,0.63602,
Angola,AGO,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,0.64019,0.65672,,,,,,,,,,0.82606,0.78751,,,,,,,,,,,,,,,0.81915,,,,,,,,,,0.83309,0.8234,0.77763,0.63032,,,,,,,,
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,0.92288,,0.92477,0.92928,0.91954,0.91581,0.92745,0.9535,0.94569,0.93595,0.93643,0.94009,0.95476,0.95424,0.94653,0.94971,1.0128,1.04385,1.00526,0.98171,0.98642,0.96978,,0.96818,0.97621,0.98732,,,0.9802,0.97804,0.98504,0.99687,0.99979,1.01781,1.00569,1.00029,0.9901,0.98159,0.97668,0.98242,0.99355,1.00432,1.0173,
Andorra,AND,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,1.14893,,,,,,,,1.02505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.61892,0.61747,0.62352,0.63085,0.63805,0.6427,0.6515,0.66238,0.67117,0.69178,0.70333,0.71549,0.72555,0.73343,0.74056,0.74961,0.7583,0.76771,0.77123,0.78256,0.79307,0.7996,0.81344,0.82108,0.82417,0.83775,0.82281,0.84603,0.85718,0.86842,0.87729,0.8863,0.89526,0.90335,0.90694,0.91367,0.91731,0.92042,0.92316,0.92413,0.92543,0.92372,0.92969,0.93009,0.93132,0.93496,0.93578,0.93879,0.94112,
United Arab Emirates,ARE,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,0.8288,0.92605,0.93376,0.94362,1.01362,1.0481,1.02908,0.99155,0.94877,0.966,0.95829,0.94787,0.94738,0.96369,1.00405,1.0254,1.03708,1.04028,1.03669,1.03693,1.03583,1.01996,1.0059,,1.0327,1.04686,,,,,,,,,,,,,,,,,,0.96095,0.94828,,
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,1.03383,1.02474,1.01195,1.01378,1.00782,1.01062,1.01223,1.01852,1.03183,1.02099,1.0244,1.02278,1.00916,,1.01194,1.02105,1.00701,1.00776,1.04746,,,,,,,,1.01928,1.02106,1.00899,1.02297,1.01587,1.01779,1.0181,1.02208,1.02779,1.033,1.04022,1.04638,1.05001,1.04754,1.03598,1.0402,1.03461,1.03136,1.03123,1.02838,1.02081,1.01963,,
Armenia,ARM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07114,,,,,,,1.00601,0.99567,0.9899,0.99522,1.00772,,1.02907,1.04034,1.03799,,,1.02283,
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98178,0.99911,1.01606,0.99448,,,,,,,,,,,,,,,,,,,,,,,,,,,
