Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,42.3062976,42.7869478,43.2866131,43.7245901,44.130957,44.4819076,131.6337457,135.0553194,358.990001,409.505485,424.783771,519.001013,564.023574,530.385687,571.038292,642.147964,435.85886,616.928696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,14306.6163,14391.7782,13040.848,13535.7541,14945.9682,14574.164,14746.851,15247.281,15112.318,14923.075,15691.266,15810.335,15615.333,15322.53,14278.7921,13545.7369,12269.4624,12400.5073,12959.2948,12348.957,12528.0165,12307.0638,11370.4531,11390.8748,11290.6882,11635.6594,12505.9308,13343.25,13793.367,14812.366,13530.953,12585.402,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4295,17791.3299,17981.30729,18168.86,,,,,,,
Angola,AGO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,60648.60108,39162.17143,42205.6507,44252.66912,40179.2335,44429.30003,38448.02409,43563.41218,46235.11458,56644.65197,48001.86616,41894.79496,45243.80208,44852.06032,35878.30078,36714.19083,35982.41365,46721.25774,35736.7658,39342.98618,50806.54269,43761.08127,64997.83986,39775.10719,44657.24335,48230.29864,47136.21579,33091.22462,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.46513,40029.3921,40878.65196,41657.16485,,,,,,,
Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,6960.8682,6950.0361,7613.2661,7348.4921,7632.6643,7873.037,8470.9784,8948.9809,9996.0562,11248.3583,11433.5842,10520.3625,10730.5261,11567.5737,12215.2375,11821.5831,12079.105,12175.4832,12603.8867,12552.7369,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,5246.1311,6493.4872,8389.2767,6820.6244,7503.05976,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.812387,8506.996034,8712.296365,8898.640911,,,,,,,
Andorra,AND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,552362.062,576946.1523,625015.9438,699280.2173,679448.0058,683966.2354,775863.7295,799971.0408,827155.739,883707.0288,927714.2369,838921.4029,888519.7451,902705.5771,888825.8656,740597.1629,769537.0999,774812.3234,803738.8551,841210.9419,803898.9681,844941.0216,842557.5094,888560.0053,920110.693,1229230.398,1258068.569,1268677.802,1743814.21,1790897.014,1850378.159,1787026.042,1927544.155,1963193.015,1660586.949,1767878.645,1731288.792,2355481.347,2364088.663,2387502.011,1924244.973,2483349.104,1908696.042,,,,,,,
United Arab Emirates,ARE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,32962.18941,41377.84513,44905.46275,56875.50782,57411.52655,57798.60342,70352.6192,69646.4002,78630.0426,57226.4289,60172.9218,53924.8253,52758.6888,50999.3789,66620.7794,67746.709,64880.31,62290.0822,64750.9019,71801.913,72498.5763,80008.30573,78759.69917,81325.7913,88014.56243,93904.01287,103034.6521,101901.3844,104993.2009,107207.9329,115420.5144,115018.8197,126800.2057,134091.6856,139999.4635,143367.6627,151837.32,167986.4324,181388.5363,182422.1692,193127.1576,199342.5226,204888.719,,,,,,,
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,221957.023,213551.7884,223912.2788,226956.0333,229456.38,233416.77,247051.66,247370.86,248238.32,255920.06,253870.99,245776.76,243613.02,248681.79,243111.57,238145.75,250785.28,256953.81,266245.22,265608.3,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,,,,,,,
Armenia,ARM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,6245.9877,6383.672,6750.8237,7371.7577,7983.8753,11627.038,11929.3886,12413.3746,12915.3444,13468.8879,14508.3336,15064.5702,15764.9062,15928.7094,15993.2273,16261.8193,16485.7384,16465.0412,17613.5979,17459.8322,24729.9166,25425.6997,14512.5941,8362.9081,6107.5421,6710.3697,5992.235,6719.5874,6737.042,6389.0077,6867.7102,6896.4518,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.08927,11393.03935,12417.73612,12319.38961,,,,,,,
American Samoa,ASM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,13.0733582,13.2473257,13.448115,13.6753294,13.9088347,14.192873,14.3835222,14.6498031,14.7537624,14.9500365,15.4709087,16.5597081,16.0547171,16.7070476,17.3836372,18.0264089,18.6707899,19.3524242,20.0081174,20.7495349,20.3813783,20.9670057,21.5104445,21.9988903,22.4541277,22.8843444,23.263078,23.6153334,23.9290422,31.135678,47.656033,50.883203,51.34821,51.838339,52.320385,52.801179,53.30204,53.913983,54.616323,54.98934941,56.6374866,57.74350928,58.76551929,,,,,,,
Antigua and Barbuda,ATG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,313.033392,430.108984,551.337225,419.440852,456.246909,365.081385,339.579799,339.578265,387.778397,370.511361,372.28777,373.358162,371.519605,359.195,380.851656,391.94411,390.009674,362.381053,379.421679,404.098798,398.694259,399.265189,406.432042,418.837958,449.002494,454.070617,463.565714,478.083878,491.89739,,,537.8058389,552.7479143,,,,,,,
Australia,AUS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,319036.599,314446.149,355430.771,333243.563,355842.865,377568.654,407572.606,414927.113,377956.134,412123.022,433837.438,387882.439,428739.962,386673.558,398135.519,456717.644,434735.105,412842.803,434706.164,460970.008,482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,,,,,,,
Austria,AUT,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,68415.153,71138.884,73531.496,77365.324,75065.759,72742.055,78085.025,75681.169,77922.796,80645.173,78845.291,75501.606,73093.723,73160.152,75543.383,76926.875,75473.362,75190.949,75021.98,74506.933,79836.956,83261.989,79225.277,79387.983,79755.728,82480.629,85648.272,84731.328,85728.612,83880.53,82686.748,85851.61173,87386.68817,92659.8411,96330.90703,97552.85369,95636.729,93276.758,94608.82183,89046.75502,94172.35094,92315.0526,90460.21029,,,,,,,
Azerbaijan,AZE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,26322.7798,26657.9303,28191.2009,30859.7489,33572.7647,41477.2724,42787.0728,44512.8221,46342.496,48375.5232,51110.8965,55448.8495,56895.2758,58641.2552,59848.2533,61419.2836,62652.0812,62972.2961,65201.0556,64809.477,78096.61988,78972.5094,,52463.9724,48457.563,42526.7923,38971.0609,37665.0413,39953.3309,40457.6469,42646.5596,41456.1124,40298.546,44116.8124,45005.7333,47617.1667,48492.2848,45144.106,53832.8169,49623.17787,50724.56964,53982.83251,56537.08178,,,,,,,
Burundi,BDI,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,2203.1094,2201.9823,2278.5152,2346.3096,2346.4721,2443.1382,2459.1071,2475.9237,2496.7942,2569.69,2390.7396,2205.1394,2230.5549,2275.1359,2323.6104,2325.8372,2496.857,2489.3611,2648.2604,2667.09,2798.9396,2883.2595,2922.8265,3021.6248,2976.8045,2998.9438,3046.7436,3059.7969,6229.0728,2767.7285,3398.8732,3390.8413,5029.5112,5258.7489,5370.4398,5302.3078,5553.3479,5477.675,5724.9553,5925.876687,6040.98237,6151.995536,6254.371024,,,,,,,
Belgium,BEL,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,159837.736,154470.0637,166246.8134,172176.8142,172793.045,153063.539,162850.552,161725.79,166668.067,176335.573,165433.833,153822.24,144653.937,135779.881,139848.697,137715.959,137673.745,136792.345,137543.014,137954.584,137872.522,142753.293,141130.179,138758.062,144398.146,146712.334,153314.451,149509.673,152174.811,147499.8,147051.2,144534.998,138048.514,144031.572,141187.993,136696.039,134802.749,131823.167,137213.867,131110.2895,138029.4109,137517.8679,133373.684,,,,,,,
Benin,BEN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,35206.06,34456.5724,34261.8663,37045.2727,29558.811,31603.4797,32261.4622,37590.2135,32394.8277,35202.2378,43188.434,36459.2918,41951.577,39352.3081,39234.6612,36123.9859,36228.7814,37711.8648,35110.8449,37911.081,47187.972,38173.353,44052.771,41176.349,41216.989,45322.666,45079.96,46264.141,49501.742,43491.026,40254.008,33015.41,47757.344,36885.5379,31729.03,48572.5105,36385.6729,39886.08,37639.925,38068.37473,33029.82235,33289.55192,33533.09673,,,,,,,
Burkina Faso,BFA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,7373.7537,7344.6457,7047.8249,6998.6991,6558.1322,6871.1208,7107.4493,7589.7049,7413.0927,7889.116,8673.0793,8415.5595,8991.3131,8983.3547,9197.4689,9754.572,10129.831,10484.194,10688.8,11103.19,12151.01,11859.682,12607.862,12855.325,13311.2,14072.242,14494.959,15472.865,45357.718,41428.1,46470.1,41227.964,50062.477,43713.288,43284.41,47809.697,41364.167,43631.841,40706.298,43473.09789,43405.90919,43660.15021,43910.40239,,,,,,,
Bangladesh,BGD,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,112709.296,107540.625,109807.265,111165.318,110459.427,115099.304,113276.59,114977.89,118409.624,120688.293,115248.381,116074.238,117881.559,112921.933,118499.686,118777.248,121513.983,120291.346,122476.931,126358.638,126701.696,126700.013,128626.244,128901.676,131295.609,136508.329,139004.894,140107.011,129129.506,138323.9,136012.9,142753.528,143812.573,146424.251,147368.17,151091.702,155320.504,161041.755,164700.503,169927.9133,177504.4736,180498.433,183300.5624,,,,,,,
Bulgaria,BGR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,88037.706,88234.353,91404.682,92710.592,93954.699,100951.576,101830.87,105580.383,111575.875,116051.259,119752.321,116431.839,118133.179,117275.1,114917.65,117688.057,118758.317,118400.808,122089.121,116317.9,108086.0268,85680.649,80517.317,78824.069,76810.448,81769.919,82852.671,78532.982,71902.2765,65864.384,66195.088,68733.683,63711.0187,70024.0292,68865.659,68542.7723,69900.815,72526.719,71720.335,65132.8579,67945.3135,72946.62307,67942.69563,,,,,,,
Bahrain,BHR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,3808.819296,3952.231659,5904.096779,6762.560403,7858.140591,7965.179489,8567.603165,9310.14211,9744.69124,10339.16421,10456.55403,11138.69836,12013.50838,12364.74134,12769.21295,14634.28884,16263.35602,16127.13257,16271.90319,16281.21515,17050.70875,14435.82175,15182.03779,15330.08717,15216.51324,15330.07486,15986.51835,,,18047.94546,,19051.2816,19967.0134,20539.28874,21451.12298,23432.38192,25118.2166,,,29249.57946,30921.97084,31941.04244,32849.10573,,,,,,,
"Bahamas, The",BHS,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,3564.4186,,,,,,,,,,,5977.68204,5156.40022,4570.07217,4338.84233,3441.36431,3150.90112,3168.59331,3342.23677,3551.76772,3593.57477,3468.70897,3078.14873,2959.42421,3183.01919,3532.12805,3856.64638,3535.75405,3683.25757,3580.497,3185.22211,3151.86905,3255.00095,3556.08428,3731.96845,3854.11183,4014.02012,4128.8887,4339.66058,4335.926906,4570.357553,4726.379316,4865.206767,,,,,,,
Bosnia and Herzegovina,BIH,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,23292.6857,23613.1932,21772.1923,23434.2057,25690.5627,21844.834,20405.8258,22002.4184,22586.1852,22408.0693,25995.1088,19788.5988,23494.1402,26769.2009,25874.4959,27008.0474,26045.453,26066.1041,29031.12,27334.0633,31318.60314,28192.9298,21575.3998,18493.9255,6509.4908,6576.4909,7102.689,11979.3901,14843.3063,15369.2984,22492.9083,18080.8809,17112.299,18645.7857,20000.8367,20780.3563,22772.2341,24673.0881,24236.6085,24471.89655,25619.33132,26405.84412,27108.4002,,,,,,,
Belarus,BLR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,137111.879,138534.12,144373.667,150803.687,155506.252,168141.968,170915.468,175999.581,179476.551,185103.414,188456.163,190307.123,187935.013,187596.165,184777.984,183139.297,181602.689,181401.602,186056.833,182769.283,185411.7606,181585.196,170164.142,153338.533,139895.776,130352.351,130526.99,131300.395,87300.091,87514.8,83387.545,80803.9023,89727.105,82041.116,85627.1607,89989.7232,94475.092,95710.8225,100860.1753,101754.7917,108204.5472,108921.4347,109647.2388,,,,,,,
Belize,BLZ,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,312.98067,324.49975,364.98301,395.05251,391.12452,423.76501,391.30542,430.65483,423.97684,452.7392,440.91957,531.04118,557.54844,579.39958,603.19959,527.22318,572.17303,592.21979,475.73504,534.71324,632.71626,690.12368,632.68533,608.19031,592.85392,602.92931,573.96312,662.67149,923.13572,1143.6771,1676.47151,1013.48396,1702.5859,3604.31407,1146.08805,2022.18417,1276.55753,1802.16292,1408.14902,1534.364583,1498.87845,1536.237437,1569.858503,,,,,,,
