Year,Country,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy.GDP.per.Capita,Family,Health.Life.Expectancy,Freedom,Trust.Government.Corruption,Generosity,Dystopia.Residual
2015,Switzerland,Western Europe,1,7.587,7.520145628487339,7.653854371512661,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738
2015,Iceland,Western Europe,2,7.561,7.465275358995064,7.656724641004936,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201
2015,Denmark,Western Europe,3,7.527,7.4617723985945075,7.592227601405493,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204
2015,Norway,Western Europe,4,7.522,7.445953397399846,7.598046602600155,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531
2015,Canada,North America,5,7.427,7.357362479629291,7.496637520370708,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176
2015,Finland,Western Europe,6,7.406,7.344457130885442,7.467542869114557,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955
2015,Netherlands,Western Europe,7,7.378,7.323140608072724,7.432859391927276,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657
2015,Sweden,Western Europe,8,7.364,7.30212393700807,7.42587606299193,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119
2015,New Zealand,Australia and New Zealand,9,7.286,7.219929614081154,7.352070385918845,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425
2015,Australia,Australia and New Zealand,10,7.284,7.203974670511229,7.36402532948877,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
2015,Israel,Middle East and Northern Africa,11,7.278,7.209989249736459,7.34601075026354,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854
2015,Costa Rica,Latin America and Caribbean,12,7.226,7.138703204128586,7.313296795871414,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728
2015,Austria,Western Europe,13,7.2,7.126481750939902,7.273518249060098,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
2015,Mexico,Latin America and Caribbean,14,7.187,7.1051519040056075,7.268848095994393,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214
2015,United States,North America,15,7.119,7.043756982633507,7.194243017366492,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011
2015,Brazil,Latin America and Caribbean,16,6.983,6.903111867990147,7.062888132009852,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
2015,Luxembourg,Western Europe,17,6.946,6.877420860180943,7.014579139819056,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961
2015,Ireland,Western Europe,18,6.94,6.867951723928308,7.012048276071693,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757
2015,Belgium,Western Europe,19,6.937,6.8665392947557855,7.007460705244215,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,6.827912943016501,6.974087056983499,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743
2015,United Kingdom,Western Europe,21,6.867,6.830427072048483,6.903572927951517,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994
2015,Oman,Middle East and Northern Africa,22,6.853,6.748435921424788,6.957564078575212,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489
2015,Venezuela,Latin America and Caribbean,23,6.81,6.683072732361186,6.936927267638813,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131
2015,Singapore,Southeastern Asia,24,6.798,6.723913361384386,6.872086638615614,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501
2015,Panama,Latin America and Caribbean,25,6.786,6.6897657683590825,6.882234231640917,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848
2015,Germany,Western Europe,26,6.75,6.7137798655657,6.7862201344343,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569
2015,Chile,Latin America and Caribbean,27,6.67,6.5563220888966764,6.783677911103323,1.10715,1.12447,0.85857000000000006,0.44132,0.12869,0.33363,2.67585
2015,Qatar,Middle East and Northern Africa,28,6.611,6.488365053487328,6.733634946512671,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674
